,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Day,Month,Year,Arrival_hour,Arrival_minutes,Dept_hour,Dept_minutes,Duration_minutes
6536,Air Asia,Delhi,Cochin,1,No info,8327,9,3,2019,7,10,20,10,660
6648,Jet Airways,Kolkata,Banglore,1,No info,14151,18,5,2019,23,35,17,0,395
3445,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,18,5,2019,22,35,8,25,850
8833,IndiGo,Delhi,Cochin,1,No info,7191,15,5,2019,21,0,6,40,860
3464,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4544,6,5,2019,11,20,8,20,180
611,Air India,Delhi,Cochin,1,No info,6745,21,3,2019,19,15,23,0,1215
3914,Jet Airways,Kolkata,Banglore,1,No info,14178,24,5,2019,9,20,6,30,1610
6522,Multiple carriers Premium economy,Delhi,Cochin,1,No info,13369,21,3,2019,12,35,6,0,395
511,SpiceJet,Mumbai,Hyderabad,0,No info,5755,9,3,2019,10,15,8,50,85
5795,Jet Airways,Delhi,Cochin,1,No info,17234,3,3,2019,18,50,18,15,1475
3111,Jet Airways,Mumbai,Hyderabad,0,No info,8040,24,5,2019,8,30,7,5,85
9228,IndiGo,Kolkata,Banglore,0,No info,4804,21,4,2019,0,5,21,25,160
4914,Multiple carriers,Delhi,Cochin,1,No info,17057,3,3,2019,21,0,8,0,780
7471,Vistara,Chennai,Kolkata,0,No info,11982,3,5,2019,20,5,17,45,140
3616,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1,6,2019,4,25,21,50,395
10242,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10031,24,3,2019,23,25,19,45,1660
6556,Jet Airways,Delhi,Cochin,2,No info,15439,9,4,2019,19,0,11,40,440
6842,IndiGo,Kolkata,Banglore,1,No info,3574,12,6,2019,23,45,19,20,265
5289,Jet Airways,Delhi,Cochin,2,In-flight meal not included,6643,27,3,2019,4,25,19,10,1995
4694,Multiple carriers,Delhi,Cochin,1,No info,11200,1,6,2019,19,0,6,40,740
3912,Jet Airways,Kolkata,Banglore,1,No info,14151,9,6,2019,9,45,9,35,1450
3582,Multiple carriers,Delhi,Cochin,1,No info,10877,24,6,2019,19,0,7,30,690
10220,Jet Airways,Banglore,New Delhi,1,No info,13817,12,3,2019,10,25,22,55,690
7866,Jet Airways,Delhi,Cochin,2,In-flight meal not included,9254,21,3,2019,18,50,10,20,1950
3885,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,9,6,2019,18,15,18,55,1400
7500,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,12,5,2019,8,15,21,10,665
9664,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,11134,24,3,2019,19,40,13,55,345
